"ICPC1";"ICPC2";"dis1";"dis2";"goldstandard";"CUI1";"dpsA";"CUI2";"dpsB"
"K75";"R81";"myocardial infarction";"pneumonia";"INVALID";"C0155626";"[10019,100233226,10891,1152,1158,134,1385,1390,140,153090,1593,1636,1649,183,19,2056,2099,2147,2153,2162,221458,221692,26119,2626,2678,2717,2729,2730,2932,3106,3146,3240,3291,3309,338,3383,3440,348,3553,3557,3569,3586,3593,3690,3717,375056,3816,3939,3949,3957,4000,4023,4049,4306,4313,4318,4352,440823,4625,4627,472,4843,4846,4878,4973,5069,51330,5139,5167,5327,5328,53345,5350,54790,55759,5581,5687,581,59,596,5972,598,6285,6402,64805,6647,6648,6945,7040,7056,7077,7124,7137,7157,7292,7416,7486,7804,811,8204,8315,836,847,8525,8678,875,3920,51119]";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]"
"K74";"R81";"angina pectoris";"pneumonia";"INVALID";"C0002962";"[10269,1593,26119,2717,338,368,3717,3949,3990,4000,4352,5328,54790,551,1152,1158,1401,2023,2194,2597,2923,2934,2950,3312,3329,338382,3569,3690,3945,397,4318,462,5069,5444,5689,6648,7099,71,7124,7137,7139,7171,7414,7431,81027,832,84790,3576,4524,4846,64333]";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]"
"B81";"R81";"Anemia, Pernicious";"pneumonia";"INVALID";"C0497165";"[212,2623,51520,6023,6125,6135,6138,6154,6165,6201,6204,6218,6223,6229,6231,6234,6235,6948,2694,3977]";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]"
"K78";"R81";"atrial fibrillation + atrial flutter";"pneumonia";"INVALID";"C0155709";"[10021,1482,1636,1674,1837,1906,23118,23224,2702,287,3360,3741,3782,3784,4000,4088,4625,463,4846,4878,4879,51086,51422,5350,5396,6331,6336,6401,6660,7450,7478,775,783,84909,857,858,9631,9992,10060,3759,3762,6324,6910,8048]";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]"
"D77";"R81";"Esophageal Neoplasms + Salivary Gland Neoplasms + Lip Neoplasms + Mouth Neoplasms + Tongue Neoplasms + Liver Neoplasms + Biliary Tract Neoplasms";"pneumonia";"INVALID";"C0497190";"[100124700,100507436,1012,10165,1019,1027,1029,1033,10468,10476,1050,1051,1052,10537,10553,10788,10961,10987,11315,114990,117145,118,122953,1230,1312,1356,1401,1499,1509,1540,1543,1571,1586,1636,1646,174,1806,182,1869,1950,1956,196528,2,2023,2052,2099,2108,2147,2171,2182,2184,2194,2203,2222,2248,2249,22937,2305,2353,23534,2475,2538,2542,2597,2658,2705,2719,27232,2735,2752,2810,29108,29126,2923,2944,2950,307,3077,3082,3083,31,3145,3148,3156,324,325,3265,328,3284,3309,3313,3315,332,335,3417,3439,3476,3480,3481,3482,3491,3569,3576,3592,3594,3660,3663,3667,367,3699,3725,3845,3954,406906,4143,4199,4204,4233,4297,4313,4318,4353,4489,4502,4598,4609,47,472,4780,4792,4830,50,51,5105,51085,51360,5155,5157,5218,5226,5230,5243,5244,5245,5265,5267,5290,5315,5317,5450,5468,5469,5502,55840,57016,5728,5743,5747,57492,57509,5836,58508,5879,5914,5925,595,598,60,6194,6197,6240,6241,6319,6348,637,6387,64399,6469,6502,6513,6514,6528,6648,6689,6720,6721,673,6772,6775,6888,693200,7001,7015,7039,7040,7054,7099,7124,7157,7248,7263,7298,7345,735,7372,7376,7389,7412,7571,760,7832,7980,80381,8289,8312,83597,83932,83940,8407,841,8431,8647,8660,8667,87178,8720,873,8743,8805,8826,8900,898,89885,9021,9099,9353,9510,9518,9588,9681,9757,9965,9966,9971,10232,2064,2263,2778,3418,4089,4843,5178,54894,55193,5566,5567,5774,6092,8314,1028,10984,26040,3784,5111,3337]";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]"
"K86";"R81";"hypertension";"pneumonia";"INVALID";"C0497248";"[10019,10052,10058,10269,10451,1071,10806,10911,10928,11020,111,11255,1161,118,1187,1215,1277,1281,1285,1286,1287,1371,1395,1401,1490,150,153,1535,1536,1543,156,1584,1585,1586,1589,1636,1813,183,1847,185,186,1889,1906,1908,1909,1956,196,2006,2056,2072,2074,210,213,2160,2161,2200,221357,2243,2263,22897,2294,22954,2301,2328,23327,2335,2353,23607,246,2475,2538,2542,26,26119,26146,26160,26249,2641,2643,2697,2701,2702,27020,27031,27130,2717,27241,2729,27347,2740,2778,2784,2796,2811,2876,2908,2920,2932,2952,2953,2982,301,3091,3145,3162,3240,3290,3291,335,3357,338,3383,3425,3479,348,348932,3553,3569,358,3630,3636,367,3717,3725,3758,3762,3779,3816,3827,389036,3949,3952,3953,3972,4000,4015,4023,4057,4069,4088,4089,4158,4190,4306,4313,4318,4363,4511,4512,4513,4514,4519,4535,4540,4541,4556,4558,4566,4567,4572,4574,4575,4577,4578,4582,4615,4627,4629,4638,475,476,4763,477,4830,4843,4846,486,4867,4878,4879,4881,490,492,4973,4982,5020,50485,5054,5076,50940,51057,51083,5139,5167,51752,51816,5327,5340,5346,5443,54585,5465,5468,5473,54903,5506,551,55212,5566,5573,5580,5592,5624,567,5728,5741,5743,582,583,585,59,59272,596,5970,5972,5979,5997,6198,624,63036,6337,6338,6340,6347,6403,65125,65266,6530,653361,6558,6559,659,6647,6648,6649,6786,6794,6869,7040,7042,7043,7046,7048,7052,7066,7076,7099,7124,7157,7168,7200,7222,7224,7349,7351,7369,7412,7421,7428,7450,7490,775,776,781,7840,796,8076,811,8195,8452,847,8481,84876,8490,8516,8518,857,8622,8639,866,875,8870,9049,9101,9149,9351,9370,94,9445,948,9657,9935,9943]";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]"
"F73";"R81";"eye infections";"pneumonia";"INVALID";"C0497211";"[10804,1643,2068,2071,2072,2073,2074,242,26154,2706,30813,3576,4914,5080,51360,5339,5429,6303,7051,7097,7507,7508,8517,8626,1312,2247,22861,2812,421,6239,6899,7290,7353,7422,9632,1392,1409,1415,1776,213,3123,3313,5176,5949,6295,6648,726,794,2200,2255,2261,2263,26191,355,3559,3560,5771,6775,7297,919,3440,3141,326,5340,686,4041,444]";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]"
"K89";"R81";"ischemic attack, transient";"pneumonia";"INVALID";"C0917805";"[10019,2022,2717,3717,4352,50485,54790,5654,7066,7157,811,94,4854,51816,134,27429,3611,54205,572,57447,6647,6648,718,842,1512,22891,3060,3119,3123,4221,4340,5032,7292]";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]"
"F92";"R81";"cataract";"pneumonia";"INVALID";"C0086543";"[10002,10083,10084,10210,10461,10518,10585,10594,10682,10716,10733,10804,1161,1258,1259,1280,1285,1286,1294,1297,1298,1299,1301,1376,1387,1406,1409,1410,1413,1414,1415,1420,1421,1427,1462,1593,1605,1643,1717,1736,175,1760,1798,182,2033,2067,2068,207,2071,2072,2073,2074,2200,2218,2250,22930,22931,2296,23020,2303,231,2317,23203,23322,23418,23424,23568,23746,24,24148,2512,257,25782,25794,2584,25861,2592,26121,26137,26160,26191,26227,26610,2671,2697,2703,2707,27077,2717,2778,291,2979,29925,29954,3000,3035,3052,3105,3166,326,3339,3420,3516,355,3614,3756,3769,3982,4010,4041,4094,4117,415,4284,4329,4575,4598,4627,4647,4668,4693,472,4751,4758,4771,4810,4851,490,4901,4952,4990,5015,5053,5080,50939,51057,51259,5145,5148,5158,51684,5189,5190,5191,5192,5193,5194,5195,5264,5290,5295,5309,5428,54507,54567,54714,54765,54880,54903,55214,55624,55670,55699,5727,5728,5741,57447,5745,5824,5828,583,5830,5832,5925,5949,5961,5995,60,6010,6017,6094,6100,6101,6102,6103,6121,617,6247,627,6295,6309,6513,652,699,701,7020,7045,7275,7287,7399,7401,7431,7436,7439,7473,7486,7490,7507,7508,7555,762,7840,8443,8481,8504,8517,8573,8643,8671,8675,8799,8842,8985,9128,9129,9150,9184,9197,9215,9227,9247,9361,9401,9409,9640,9657,9702,9742,9896,9987,100188774,100302720,10306,1969,10484,1412,1417,1419,3299,128637,1287,1411,2108,2109,2110,23095,2651,4047,4511,4512,4513,4514,4519,4535,4540,4541,4558,4566,4567,4572,4574,4577,4578,5605,5979,6390,6392,7428,7466,8419,857,128866,146862,2700,631,79443,878,1484,26090,51099,8322,266979,55750,6648,387700,907,493862,57724,9193,619404,7792,80207,80770,8130,81863,84668,9445]";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]"
"F92";"R82";"cataract";"Pleurisy not Pleuropneumonia";"INVALID";"C0086543";"[10002,10083,10084,10210,10461,10518,10585,10594,10682,10716,10733,10804,1161,1258,1259,1280,1285,1286,1294,1297,1298,1299,1301,1376,1387,1406,1409,1410,1413,1414,1415,1420,1421,1427,1462,1593,1605,1643,1717,1736,175,1760,1798,182,2033,2067,2068,207,2071,2072,2073,2074,2200,2218,2250,22930,22931,2296,23020,2303,231,2317,23203,23322,23418,23424,23568,23746,24,24148,2512,257,25782,25794,2584,25861,2592,26121,26137,26160,26191,26227,26610,2671,2697,2703,2707,27077,2717,2778,291,2979,29925,29954,3000,3035,3052,3105,3166,326,3339,3420,3516,355,3614,3756,3769,3982,4010,4041,4094,4117,415,4284,4329,4575,4598,4627,4647,4668,4693,472,4751,4758,4771,4810,4851,490,4901,4952,4990,5015,5053,5080,50939,51057,51259,5145,5148,5158,51684,5189,5190,5191,5192,5193,5194,5195,5264,5290,5295,5309,5428,54507,54567,54714,54765,54880,54903,55214,55624,55670,55699,5727,5728,5741,57447,5745,5824,5828,583,5830,5832,5925,5949,5961,5995,60,6010,6017,6094,6100,6101,6102,6103,6121,617,6247,627,6295,6309,6513,652,699,701,7020,7045,7275,7287,7399,7401,7431,7436,7439,7473,7486,7490,7507,7508,7555,762,7840,8443,8481,8504,8517,8573,8643,8671,8675,8799,8842,8985,9128,9129,9150,9184,9197,9215,9227,9247,9361,9401,9409,9640,9657,9702,9742,9896,9987,100188774,100302720,10306,1969,10484,1412,1417,1419,3299,128637,1287,1411,2108,2109,2110,23095,2651,4047,4511,4512,4513,4514,4519,4535,4540,4541,4558,4566,4567,4572,4574,4577,4578,5605,5979,6390,6392,7428,7466,8419,857,128866,146862,2700,631,79443,878,1484,26090,51099,8322,266979,55750,6648,387700,907,493862,57724,9193,619404,7792,80207,80770,8130,81863,84668,9445]";"C0497354";"[10232,22900,2833,3371,3458,3565,3569,6347,7040,7077,2492,3077,3930,5644,6690,7124,3383,3553,3586,4210,6403,7132,5345]"
"R81";"R84";"pneumonia";"Lung Neoplasms + Carcinoma, Lewis Lung + Carcinoma, Non-Small-Cell Lung + Carcinoma, Small Cell";"VALID";"C0032285";"[100,10559,10803,1230,1235,1380,142,1437,1675,1789,196,23,23411,23495,25836,27019,2833,2919,29851,3162,3458,3553,3554,3560,3561,3565,3568,3569,3572,3575,3579,3596,3605,3606,3689,3718,3981,4283,4615,4638,4790,4791,4860,50615,5196,54,5443,54941,55343,55636,5580,5896,5897,6023,629,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6440,6445,6696,695,7015,7040,7099,7124,7132,7133,729230,7535,7850,834,841,8481,8742,930,931,959,975,9841,987,10747,1673,3576,5594,5595,1080,1280,1302,1535,1536,1956,2328,23594,29760,3507,3543,3763,3952,4683,4688,4921,5184,5340,5351,5422,7840,8792,974,1636,26277,5336,7012,27125,4843,7100,6648,9094]";"C0348343";"[100302142,10087,1012,10179,1029,10397,10568,1113,11186,1440,1474,1540,1571,1612,1645,1728,1845,1956,2023,2026,2067,2254,2260,2272,23028,2305,2309,23532,23603,238,25878,26227,2696,2729,27436,29108,2946,2950,29968,324,3280,332,356,3570,3576,3586,3688,374,3799,3815,3845,3956,406913,406937,406988,407021,407031,4193,4233,4312,4318,4320,4504,4609,467,4780,4826,4854,5021,5052,5223,5243,54458,5478,55743,558,55829,57099,5744,5829,5894,59082,5925,6009,6098,6236,6240,6385,6472,6648,6774,6855,693223,7015,7039,7157,7262,7345,7422,79887,81037,8202,841,8434,847,9180,928,931,9510,972,9817,107,11228,1152,121256,1284,1387,169044,1993,201229,2033,2045,22982,23314,26047,2899,2918,3398,3642,429,4297,4610,551,55605,57088,5728,57683,6597,6657,7161,8570,862,9353,9425,9699,9774,10476,10961,1553,196,213,226,2791,2810,2909,2956,301,3028,308,3148,3265,3315,335,3726,4000,4437,4921,4968,5290,5530,55783,5604,5921,6440,6654,673,6794,688,7018,7270,7409,7508,822,8314,84444,8626,8743,8890,8893,9582,1326,2064,3659,5002,5071,5519,9940,23405]"
"D92";"R84";"diverticulum + diverticulitis";"Lung Neoplasms + Carcinoma, Lewis Lung + Carcinoma, Non-Small-Cell Lung + Carcinoma, Small Cell";"INVALID";"C1510475";"[10516,1281,1289,2006,30008,51085,5351,538,8425,8626,1277,1290,5832,207,26608,2969,3984,4292,4436,5290,5310,5728,5979,5982,7461,9031,9569]";"C0348343";"[100302142,10087,1012,10179,1029,10397,10568,1113,11186,1440,1474,1540,1571,1612,1645,1728,1845,1956,2023,2026,2067,2254,2260,2272,23028,2305,2309,23532,23603,238,25878,26227,2696,2729,27436,29108,2946,2950,29968,324,3280,332,356,3570,3576,3586,3688,374,3799,3815,3845,3956,406913,406937,406988,407021,407031,4193,4233,4312,4318,4320,4504,4609,467,4780,4826,4854,5021,5052,5223,5243,54458,5478,55743,558,55829,57099,5744,5829,5894,59082,5925,6009,6098,6236,6240,6385,6472,6648,6774,6855,693223,7015,7039,7157,7262,7345,7422,79887,81037,8202,841,8434,847,9180,928,931,9510,972,9817,107,11228,1152,121256,1284,1387,169044,1993,201229,2033,2045,22982,23314,26047,2899,2918,3398,3642,429,4297,4610,551,55605,57088,5728,57683,6597,6657,7161,8570,862,9353,9425,9699,9774,10476,10961,1553,196,213,226,2791,2810,2909,2956,301,3028,308,3148,3265,3315,335,3726,4000,4437,4921,4968,5290,5530,55783,5604,5921,6440,6654,673,6794,688,7018,7270,7409,7508,822,8314,84444,8626,8743,8890,8893,9582,1326,2064,3659,5002,5071,5519,9940,23405]"
"K76";"R84";"heart aneurysm +coronary arteriosclerosis";"Lung Neoplasms + Carcinoma, Lewis Lung + Carcinoma, Non-Small-Cell Lung + Carcinoma, Small Cell";"INVALID";"C0155669";"[1581,2099,26119,338,3949,4000]";"C0348343";"[100302142,10087,1012,10179,1029,10397,10568,1113,11186,1440,1474,1540,1571,1612,1645,1728,1845,1956,2023,2026,2067,2254,2260,2272,23028,2305,2309,23532,23603,238,25878,26227,2696,2729,27436,29108,2946,2950,29968,324,3280,332,356,3570,3576,3586,3688,374,3799,3815,3845,3956,406913,406937,406988,407021,407031,4193,4233,4312,4318,4320,4504,4609,467,4780,4826,4854,5021,5052,5223,5243,54458,5478,55743,558,55829,57099,5744,5829,5894,59082,5925,6009,6098,6236,6240,6385,6472,6648,6774,6855,693223,7015,7039,7157,7262,7345,7422,79887,81037,8202,841,8434,847,9180,928,931,9510,972,9817,107,11228,1152,121256,1284,1387,169044,1993,201229,2033,2045,22982,23314,26047,2899,2918,3398,3642,429,4297,4610,551,55605,57088,5728,57683,6597,6657,7161,8570,862,9353,9425,9699,9774,10476,10961,1553,196,213,226,2791,2810,2909,2956,301,3028,308,3148,3265,3315,335,3726,4000,4437,4921,4968,5290,5530,55783,5604,5921,6440,6654,673,6794,688,7018,7270,7409,7508,822,8314,84444,8626,8743,8890,8893,9582,1326,2064,3659,5002,5071,5519,9940,23405]"
"D89";"R84";"hernia, inguinal";"Lung Neoplasms + Carcinoma, Lewis Lung + Carcinoma, Non-Small-Cell Lung + Carcinoma, Small Cell";"INVALID";"C0019294";"[10020,10243,10265,10516,1146,1277,1278,1280,1281,1289,1290,1836,1855,2006,2146,2239,2245,2260,23314,23384,23483,23545,23729,25836,2588,25942,26608,268,269,2719,2720,2741,2969,2990,29940,30008,3339,3423,3425,3643,367,3670,3984,4088,411,4125,4621,4758,4853,4854,4920,51360,5295,5351,5352,538,5422,54487,54968,5826,5831,5832,5982,6197,6899,6926,7042,7043,7048,7317,7461,7474,7518,8214,8220,8260,8425,8450,8481,8626,871,875,8905,9031,9509,9569,9791,9968,9993]";"C0348343";"[100302142,10087,1012,10179,1029,10397,10568,1113,11186,1440,1474,1540,1571,1612,1645,1728,1845,1956,2023,2026,2067,2254,2260,2272,23028,2305,2309,23532,23603,238,25878,26227,2696,2729,27436,29108,2946,2950,29968,324,3280,332,356,3570,3576,3586,3688,374,3799,3815,3845,3956,406913,406937,406988,407021,407031,4193,4233,4312,4318,4320,4504,4609,467,4780,4826,4854,5021,5052,5223,5243,54458,5478,55743,558,55829,57099,5744,5829,5894,59082,5925,6009,6098,6236,6240,6385,6472,6648,6774,6855,693223,7015,7039,7157,7262,7345,7422,79887,81037,8202,841,8434,847,9180,928,931,9510,972,9817,107,11228,1152,121256,1284,1387,169044,1993,201229,2033,2045,22982,23314,26047,2899,2918,3398,3642,429,4297,4610,551,55605,57088,5728,57683,6597,6657,7161,8570,862,9353,9425,9699,9774,10476,10961,1553,196,213,226,2791,2810,2909,2956,301,3028,308,3148,3265,3315,335,3726,4000,4437,4921,4968,5290,5530,55783,5604,5921,6440,6654,673,6794,688,7018,7270,7409,7508,822,8314,84444,8626,8743,8890,8893,9582,1326,2064,3659,5002,5071,5519,9940,23405]"
"L89";"R84";"Osteoarthritis, Hip";"Lung Neoplasms + Carcinoma, Lewis Lung + Carcinoma, Non-Small-Cell Lung + Carcinoma, Small Cell";"INVALID";"C0029410";"[1186,1280,1311,4088,6399,8200]";"C0348343";"[100302142,10087,1012,10179,1029,10397,10568,1113,11186,1440,1474,1540,1571,1612,1645,1728,1845,1956,2023,2026,2067,2254,2260,2272,23028,2305,2309,23532,23603,238,25878,26227,2696,2729,27436,29108,2946,2950,29968,324,3280,332,356,3570,3576,3586,3688,374,3799,3815,3845,3956,406913,406937,406988,407021,407031,4193,4233,4312,4318,4320,4504,4609,467,4780,4826,4854,5021,5052,5223,5243,54458,5478,55743,558,55829,57099,5744,5829,5894,59082,5925,6009,6098,6236,6240,6385,6472,6648,6774,6855,693223,7015,7039,7157,7262,7345,7422,79887,81037,8202,841,8434,847,9180,928,931,9510,972,9817,107,11228,1152,121256,1284,1387,169044,1993,201229,2033,2045,22982,23314,26047,2899,2918,3398,3642,429,4297,4610,551,55605,57088,5728,57683,6597,6657,7161,8570,862,9353,9425,9699,9774,10476,10961,1553,196,213,226,2791,2810,2909,2956,301,3028,308,3148,3265,3315,335,3726,4000,4437,4921,4968,5290,5530,55783,5604,5921,6440,6654,673,6794,688,7018,7270,7409,7508,822,8314,84444,8626,8743,8890,8893,9582,1326,2064,3659,5002,5071,5519,9940,23405]"
"K75";"R84";"myocardial infarction";"Lung Neoplasms + Carcinoma, Lewis Lung + Carcinoma, Non-Small-Cell Lung + Carcinoma, Small Cell";"INVALID";"C0155626";"[10019,100233226,10891,1152,1158,134,1385,1390,140,153090,1593,1636,1649,183,19,2056,2099,2147,2153,2162,221458,221692,26119,2626,2678,2717,2729,2730,2932,3106,3146,3240,3291,3309,338,3383,3440,348,3553,3557,3569,3586,3593,3690,3717,375056,3816,3939,3949,3957,4000,4023,4049,4306,4313,4318,4352,440823,4625,4627,472,4843,4846,4878,4973,5069,51330,5139,5167,5327,5328,53345,5350,54790,55759,5581,5687,581,59,596,5972,598,6285,6402,64805,6647,6648,6945,7040,7056,7077,7124,7137,7157,7292,7416,7486,7804,811,8204,8315,836,847,8525,8678,875,3920,51119]";"C0348343";"[100302142,10087,1012,10179,1029,10397,10568,1113,11186,1440,1474,1540,1571,1612,1645,1728,1845,1956,2023,2026,2067,2254,2260,2272,23028,2305,2309,23532,23603,238,25878,26227,2696,2729,27436,29108,2946,2950,29968,324,3280,332,356,3570,3576,3586,3688,374,3799,3815,3845,3956,406913,406937,406988,407021,407031,4193,4233,4312,4318,4320,4504,4609,467,4780,4826,4854,5021,5052,5223,5243,54458,5478,55743,558,55829,57099,5744,5829,5894,59082,5925,6009,6098,6236,6240,6385,6472,6648,6774,6855,693223,7015,7039,7157,7262,7345,7422,79887,81037,8202,841,8434,847,9180,928,931,9510,972,9817,107,11228,1152,121256,1284,1387,169044,1993,201229,2033,2045,22982,23314,26047,2899,2918,3398,3642,429,4297,4610,551,55605,57088,5728,57683,6597,6657,7161,8570,862,9353,9425,9699,9774,10476,10961,1553,196,213,226,2791,2810,2909,2956,301,3028,308,3148,3265,3315,335,3726,4000,4437,4921,4968,5290,5530,55783,5604,5921,6440,6654,673,6794,688,7018,7270,7409,7508,822,8314,84444,8626,8743,8890,8893,9582,1326,2064,3659,5002,5071,5519,9940,23405]"
